headline,date,doc_type,material_type,section,keywords
Verbatim: The Ferguson Case,2015-08-05,multimedia,Video,,"['Police Brutality, Misconduct and Shootings']"
Verbatim: Grand Jury Testimony in the Ferguson Shooting,2015-08-05,multimedia,Interactive Feature,,[]
The Future of Voting Rights ,2015-08-05,article,News,,[]
Kerry Urges Beijing to Halt Actions in South China Sea,2015-08-05,article,News,,"['United States International Relations', 'Reclamation of Land']"
"News Q’s | With Halo 5, Microsoft Seeks to Lure E-Sports Players Back",2015-08-05,article,News,,[]
"Réunion Debris Is Almost Surely From Flight 370, Officials Say",2015-08-05,article,News,,"['Aviation Accidents, Safety and Disasters', 'Malaysia Airlines Flight 370']"
Living in the Financial District,2015-08-05,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
The Financial District: A Neighborhood With Two Faces,2015-08-05,article,News,,['Real Estate and Housing (Residential)']
Gary Rivlin’s ‘Katrina: After the Flood’,2015-08-05,article,Review,,"['Books and Literature', 'Hurricane Katrina (2005)']"
"‘We’re Still Here Ya Bastards,’ by Roberta Brandes Gratz",2015-08-05,article,Review,,"['Books and Literature', 'Hurricane Katrina (2005)']"
How to Vacation Like It’s 1999,2015-08-05,article,News,,"['Travel and Vacations', 'Computers and the Internet', 'Social Media', 'Mobile Applications', 'Wireless Communications']"
"In Sea of Memorial Patches, a Former Mets Owner Sinks From Sight",2015-08-05,article,News,,['Baseball']
The Kansas Experiment,2015-08-05,article,News,,"['Income Tax', 'Budgets and Budgeting', 'State Legislatures']"
Real Estate Investment Aided by Ponzi Scheme Could Recoup Victims’ Money,2015-08-05,article,News,,"['Ponzi and Pyramid Schemes', 'Real Estate (Commercial)', 'Embezzlement', 'Real Estate and Housing (Residential)']"
Push for Retribution in Egypt Frays Muslim Brotherhood,2015-08-05,article,News,,"['Muslims and Islam', 'Middle East and North Africa Unrest (2010- )', 'Terrorism']"
Brooklyn Sites Get $2.6 Million to Undo Hurricane Sandy’s Toll,2015-08-05,article,News,,"['Historic Buildings and Sites', 'Hurricane Sandy (2012)', 'Restoration and Renovation', 'Cemeteries']"
"A Year Later, Ferguson Sees Change, but Asks if It’s Real",2015-08-05,article,News,,"['Blacks', 'Black People', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'Appointments and Executive Changes', 'Police']"
Former First Lady of South Korea Visits Pyongyang in Good-Will Trip,2015-08-05,article,News,,[]
Choosing the Right Running Shoes,2015-08-05,article,News,,"['Running', 'Sneakers']"
"Trains Derail in India’s Madhya Pradesh, Killing Dozens",2015-08-05,article,News,,"['Railroad Accidents and Safety', 'Floods', 'Monsoons', 'Deaths (Fatalities)']"
"Wednesday’s Digest: A New Christmas Cruise, and Other Resort News",2015-08-05,article,News,,['Travel and Vacations']
Your Wednesday Briefing,2015-08-05,article,News,,[]
Dozens Killed as Trains Derail in India,2015-08-05,multimedia,Video,,"['Railroad Accidents and Safety', 'Floods', 'Landslides and Mudslides', 'Rescues']"
Q. and A.: Calais Has Become Flashpoint in Europe’s Migrant Crisis,2015-08-05,article,News,,"['Middle East and Africa Migrant Crisis', 'Human Trafficking']"
New York Today: Sinking In,2015-08-05,article,News,,[]
Standard Chartered Profit Fell 37% in First Half,2015-08-05,article,News,,"['Company Reports', 'Banking and Financial Institutions']"
Ungrounded,2015-08-05,article,News,,"['Death and Dying', 'Grief (Emotion)']"
Today in Politics: Commotion Over Ad-Libbed Remarks Fills Divide Between Two Jebs,2015-08-05,article,News,,['Presidential Election of 2016']
Wedding in Berlin Finally Has Its Moment,2015-08-05,article,News,,['Travel and Vacations']
The Cost of Natural Disasters,2015-08-05,multimedia,Interactive Feature,,"['Disasters and Emergencies', 'Drought', 'Floods', 'Tornadoes', 'Wildfires']"
Is It Wrong If a Friend Sells My Hand-Me-Downs?,2015-08-05,article,News,,"['Ethicists, The (Times Column)', 'Gifts', 'Recycling of Waste Materials', 'Ethics (Personal)']"
Assessing Tom Brady’s Stock in the Fashion World,2015-08-05,article,News,,"['Football', 'Cheating', 'Fashion and Apparel']"
A Mess of Clams,2015-08-05,article,News,,"['Cooking and Cookbooks', 'Clams', 'Seafood', 'Recipes']"
What’s Left of the Voting Rights Act?,2015-08-05,article,News,,"['Law and Legislation', 'Voter Registration and Requirements', 'Voting Rights Act (1965)', 'Discrimination', 'State Legislatures', 'Presidential Election of 2016', 'Blacks', 'Black People', 'Civil Rights and Liberties']"
Zimbabwe Court Postpones Trial of Guide in Killing of Cecil the Lion,2015-08-05,article,News,,"['Lions', 'Poaching (Wildlife)', 'Hunting and Trapping', 'Safaris']"
"8 Awkward ‘Wet Hot American’ Looks, Explained",2015-08-05,multimedia,Interactive Feature,,"['Costumes', 'Web-Original Programming']"
"Classical Music This Week: The Festival Circuit, Blackness at the Met and Reynaldo Hahn",2015-08-05,article,News,,['Classical Music']
Donald Trump and the G.O.P. Debate: Policy Is Not His Point,2015-08-05,article,News,,"['Presidential Election of 2016', 'Debates (Political)', 'Polls and Public Opinion', 'News and News Media']"
New Bishop in China Signals Hope for Relations With Vatican,2015-08-05,article,News,,[]
Rand Paul Is Faulted in Ad Over Previous Calls for Iran Talks,2015-08-05,article,News,,"['Political Advertising', 'Presidential Election of 2016']"
Orphan’s Essay Sets Off Debate About Poverty in China,2015-08-05,article,News,,"['Olympic Games (2022)', 'Orphans and Orphanages', 'Philanthropy']"
Hiroshima Marks 70 Years Since Bombing,2015-08-05,multimedia,Video,,"['Nuclear Weapons', 'World War II (1939-45)']"
Times Have Changed: Senior Version,2015-08-05,article,News,,"['Elderly', 'Sex']"
"Barrel Bombs, Not ISIS, Are the Greatest Threat to Syrians",2015-08-05,article,Op-Ed,,"['Bombs and Explosives', 'Civilian Casualties']"
"What You Get for… $2,000,000",2015-08-05,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
"$2,000,000 Homes in Savannah, Minneapolis and Connecticut",2015-08-05,article,News,,['Real Estate and Housing (Residential)']
"Halsey, With ‘Badlands,’ Is Moving Fast to Share a Secret Language",2015-08-05,article,News,,['Music']
A Five-Bedroom 1927 Townhouse in a Suburb of Brussels,2015-08-05,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
House Hunting in Belgium,2015-08-05,article,News,,['Real Estate and Housing (Residential)']
Daily Report: E-Sports Continues to Reshape Gaming Landscape,2015-08-05,article,News,,['Computer and Video Games']
Morning Agenda: Puerto Rico’s Next Debt Problem,2015-08-05,article,News,,"['Banking and Financial Institutions', 'Credit and Debt', 'Hedge Funds', 'Libor (London Interbank Offered Rate)', 'Mergers, Acquisitions and Divestitures', 'Mortgages', 'PUERTO RICO', 'Stocks and Bonds']"
There is No Pro-Life Case For Planned Parenthood,2015-08-05,article,News,,"['ABORTION', 'Birth Control and Family Planning', 'Liberalism (US Politics)', 'Sex Education']"
‘Right to Be Forgotten’ Online Could Spread,2015-08-05,article,News,,"['Privacy', 'Search Engines', 'Freedom of Speech and Expression']"
Tim Blanks Joins the Industry Website The Business of Fashion,2015-08-05,article,News,,"['Fashion and Apparel', 'Appointments and Executive Changes']"
"Review: ‘Let’s Be Less Stupid,’ a Distracted Meditation on Absent-Mindedness",2015-08-05,article,Review,,"['Books and Literature', 'Memory', 'Brain']"
"No, Giving More People Health Insurance Doesn’t Save Money",2015-08-05,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Preventive Medicine']"
Floyd Mayweather’s Choice of Andre Berto Excites Few,2015-08-05,article,News,,['Boxing']
Report Finds Wide Diversity Gap Among 2014’s Top-Grossing Films,2015-08-05,article,News,,"['Movies', 'Discrimination', 'Women and Girls', 'Minorities', 'Homosexuality and Bisexuality', 'Race and Ethnicity', 'Transgender and Transsexuals']"
1890: Push for President to Resign,2015-08-05,article,News,,['Defense and Military Forces']
Jeb Bush on Funding for Women’s Health,2015-08-05,multimedia,Video,,"['Women and Girls', 'Presidential Election of 2016', 'Budgets and Budgeting']"
A Spread of Spanish Snacks at Despaña,2015-08-05,multimedia,Slideshow,,['Supermarkets and Grocery Stores']
"Britain Charges Anjem Choudary, Radical Preacher, With Aiding ISIS",2015-08-05,article,News,,"['Muslims and Islam', 'Terrorism']"
Travel Diary,2015-08-05,multimedia,Slideshow,,[]
"Staging Passion Play for 200 Years, Italians Become More Than Merely Players",2015-08-05,article,News,,['Theater']
"From a Spanish Shop in Queens, Chorizo That’s Out of This World",2015-08-05,article,News,,"['Food', 'Meat', 'Supermarkets and Grocery Stores', 'Sausages']"
Kids in the Kitchen: No-Knead Bread for All Ages,2015-08-05,article,News,,"['Bread', 'Cooking and Cookbooks', 'Parenting']"
Summer in Iraq: Beneath the Heat and Abaya and a Flak Jacket Too,2015-08-05,article,News,,"['Air Conditioning', 'Iraq War (2003-11)', 'Muslim Veiling', 'Power Failures and Blackouts', 'Weather']"
Egypt’s President Leads Celebration of ‘New’ Suez Canal,2015-08-05,article,News,,"['Ships and Shipping', 'Canals']"
Turkey’s Push Into War Is Seen as Erdogan’s Political Strategy,2015-08-05,article,News,,['Kurds']
Shanice Williams to Play Dorothy in NBC’s Live Version of ‘The Wiz’,2015-08-05,article,News,,"['Television', 'Theater']"
"Kerry Washington’s Colorful, All-Paisley Layers",2015-08-05,article,News,,[]
"A New Action Camera, Born From a Cycling Crash",2015-08-05,article,News,,"['Cameras', 'Computers and the Internet']"
Spotify’s Content Chief Moves to Online Video Start-Up Pluto TV,2015-08-05,article,News,,"['Appointments and Executive Changes', 'Video Recordings, Downloads and Streaming']"
1965: U.S. Jobless Rate at New Low,2015-08-05,article,News,,"['Labor and Jobs', 'Unemployment']"
"James Lecesne of the Trevor Project, Inhabiting Lives and Saving Them",2015-08-05,article,News,,"['Theater', 'Homosexuality and Bisexuality']"
A Real Adventure: Sorting Out All the F.K.T.s (Fastest Known Times),2015-08-05,article,News,,"['Hikes and Hiking', 'Records and Achievements', 'Ultramarathon Running']"
Blocking a PC’s Webcam,2015-08-05,article,Question,,"['Mobile Applications', 'Computers and the Internet', 'Cameras', 'Smartphones', 'Recording Equipment', 'Google Phone', 'Android (Operating System)', 'Computer Security']"
"Guerrilla Girls, Going and Going …",2015-08-05,multimedia,Video,,"['Art', ""Women's Rights"", 'Women and Girls', 'Museums', 'Discrimination']"
Cheryl Boone Isaacs Re-Elected President of Motion Picture Academy,2015-08-05,article,News,,['Movies']
"Style, Substance, and The Donald",2015-08-05,article,News,,[]
"The Guerrilla Girls, After 3 Decades, Still Rattling Art World Cages",2015-08-05,article,News,,"['Art', 'Museums', 'Women and Girls', ""Women's Rights""]"
S.E.C. Approves Rule on C.E.O. Pay Ratio,2015-08-05,article,News,,"['Executive Compensation', 'Income Inequality', 'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)', 'Regulation and Deregulation of Industry']"
A Virtual Reality Film Festival Becomes a Reality,2015-08-05,article,News,,"['Festivals', 'Movies', 'Virtual Reality (Computers)']"
"National Museum of Dance to Honor Mark Morris, Nureyev and Chita Rivera",2015-08-05,article,News,,['Dancing']
Verbatim: Obama Says Iran Deal Is ‘Good for America’,2015-08-05,article,News,,['Nuclear Weapons']
Obama Drafts Order on Paid Sick Leave for Federal Contractors,2015-08-05,article,News,,"['Paid Time Off', 'Government Contracts and Procurement', 'Executive Orders and Memorandums', 'Law and Legislation']"
Today was the first day tourists can take photos at White House.,2015-08-05,multimedia,Slideshow,,[]
Katie Ledecky Claims Third Gold Medal at World Championships,2015-08-05,article,News,,['Swimming']
Obama Defends Iran Deal in Speech,2015-08-05,multimedia,Video,,['United States Politics and Government']
Liquefied Natural Gas Makes Qatar an Energy Giant,2015-08-05,article,News,,"['Natural Gas', 'International Trade and World Market']"
Qatar’s Liquid Gold,2015-08-05,multimedia,Slideshow,,"['Natural Gas', 'Energy and Power']"
Hundreds of Migrants Rescued After Boat Capsizes Off Libya,2015-08-05,article,News,,"['Maritime Accidents and Safety', 'Middle East and Africa Migrant Crisis', 'Refugees and Displaced Persons', 'Illegal Immigration', 'Drownings', 'Rescues', 'Boats and Boating', 'Immigration and Emigration']"
Babies Who Couldn’t Wait a New York Minute,2015-08-05,multimedia,Interactive Feature,,"['Babies and Infants', 'Pregnancy and Childbirth']"
Fare Thee Well? Not Quite: 3 Members of Dead Uniting Again,2015-08-05,article,News,,['Rock Music']
Clinton’s Recent Criticisms of Bush,2015-08-05,multimedia,Video,,['Presidential Election of 2016']
"Moving Into a Shipping Container, but Staying Put",2015-08-05,article,News,,"['Real Estate and Housing (Residential)', 'Prefabricated Buildings', 'Sustainable Living', 'Small Business']"
36 Hours in Provence,2015-08-05,multimedia,Video,,['Travel and Vacations']
Rand Paul Aide Indicted on Charges of Hiding Payments,2015-08-05,article,News,,"['Presidential Election of 2016', 'Presidential Election of 2012', 'Campaign Finance']"
"It’s Either Iran Nuclear Deal or ‘Some Form of War,’ Obama Warns",2015-08-05,article,News,,"['Nuclear Weapons', 'Speeches and Statements', 'United States Politics and Government', 'United States International Relations', 'Iraq War (2003-11)']"
Three Reasons to (Still) Visit Puerto Rico,2015-08-05,article,News,,"['Travel and Vacations', 'Summer (Season)']"
36 Hours in Provence,2015-08-05,article,News,,['Travel and Vacations']
Bank of America Starts to Pull Clients’ Money Out of a Paulson Fund,2015-08-05,article,News,,"['Hedge Funds', 'High Net Worth Individuals']"
Revisiting Ferguson,2015-08-05,article,News,,"['Demonstrations, Protests and Riots', 'Police Brutality, Misconduct and Shootings', 'Race and Ethnicity']"
The Key Numbers in the California Wildfires,2015-08-05,article,News,,"['Wildfires', 'Fires and Firefighters', 'Drought']"
Pope Francis Urges Priests to Welcome Remarried Catholics,2015-08-05,article,News,,"['Divorce, Separations and Annulments', 'Marriages', 'Excommunication', 'Priests', 'Families and Family Life']"
Departing German Prosecutor Defends Treason Inquiry Against Bloggers,2015-08-05,article,News,,['Surveillance of Citizens by Government']
Manslaughter Charges for Construction Managers After Queens Worker Dies in Pit Collapse,2015-08-05,article,News,,"['Murders, Attempted Murders and Homicides', 'Workplace Hazards and Violations', 'Building (Construction)', 'Accidents and Safety']"
"Eleanor Roosevelt Is Top Choice for the $10 Bill, Poll Finds",2015-08-05,article,News,,['US Dollar (Currency)']
Diving Headfirst Into the Internet of Things,2015-08-05,article,News,,"['Home Automation and Smart Homes', 'Beer', 'Electric Light Bulbs', 'Wireless Communications', 'Toothbrushes and Toothpaste', 'Air Conditioning', 'Cameras']"
New Poll Shows Mayor de Blasio’s Support Has Eroded,2015-08-05,article,News,,['Polls and Public Opinion']
"Can You Make an Awesome Burger at Home? Yes, You Can",2015-08-05,article,News,,"['Cooking and Cookbooks', 'Kitchens', 'Food', 'Chefs', 'Meat']"
"Jeb’s Guacamole Bowl, Hillary’s Beer Koozies: The Best of 2016 Campaign Merchandise (So Far)",2015-08-05,multimedia,Interactive Feature,,['Presidential Election of 2016']
‘Significant Other’ Looks at Friendships That End at Marriage,2015-08-05,article,News,,['Theater']
Clip: ‘Kahlil Gibran’s The Prophet’,2015-08-05,multimedia,Video,,[]
Malaysian Premier Discusses Flight 370,2015-08-05,multimedia,Video,,"['Malaysia Airlines Flight 370', 'Aviation Accidents, Safety and Disasters']"
Daniel Loeb’s Third Point Takes a Big Stake in Baxter,2015-08-05,article,News,,['Hedge Funds']
Alvin Ailey Season Will Feature World Premiere From Robert Battle,2015-08-05,article,News,,['Dancing']
A New Throwback Joint From the Cabin Down Below’s Jesse Malin,2015-08-05,article,News,,"['Bars and Nightclubs', 'Rock Music']"
"Adidas Acquires Runtastic, a Maker of Fitness Apps and Devices",2015-08-05,article,News,,"['Mergers, Acquisitions and Divestitures', 'Wearable Computing', 'Mobile Applications']"
Estate of Man Exonerated in 1992 Murders Sues New York City and Police,2015-08-05,article,News,,"['False Arrests, Convictions and Imprisonments', 'Police Brutality, Misconduct and Shootings', 'Murders, Attempted Murders and Homicides', 'Suits and Litigation (Civil)']"
"For His Next Adventure, a Rothschild Explores Fashion",2015-08-05,article,News,,"['Fashion and Apparel', 'Sustainable Living', 'Entrepreneurship']"
"Following Netflix, Microsoft Sweetens Parental Leave Benefits",2015-08-05,article,News,,"['Family Leaves', 'Paid Time Off', 'Parenting', 'Women and Girls']"
"Richard Matt, New York Prison Escapee, Was Intoxicated When He Died, Police Say",2015-08-05,article,News,,"['Prison Escapes', 'ALCOHOLIC BEVERAGES']"
Bears Feeding at Katmai National Park,2015-08-05,multimedia,Video,,"['National Parks, Monuments and Seashores', 'Travel and Vacations']"
Edie Campbell Conjures Fashion’s Dark Side,2015-08-05,multimedia,Slideshow,,"['Fashion and Apparel', 'Women and Girls']"
Egyptian Militants Tied to ISIS Threaten to Kill Croatian Hostage,2015-08-05,article,News,,"['Kidnapping and Hostages', 'Terrorism']"
‘Shaun the Sheep Movie’: Designing the Characters,2015-08-05,multimedia,Interactive Feature,,['Movies']
The International Answers to Uber and Lyft,2015-08-05,article,News,,"['Mobile Applications', 'Car Services and Livery Cabs', 'Travel and Vacations', 'Business Travel', 'Taxicabs and Taxicab Drivers', 'iOS (Operating System)', 'Android (Operating System)']"
How Much Is a C.E.O. Worth? America’s Confused Approach to Pay,2015-08-05,article,News,,"['Income Inequality', 'Executive Compensation']"
Pictures of the Day: United States and Elsewhere,2015-08-05,multimedia,Slideshow,,[]
1945: Hiroshima Hit by Atomic Bomb,2015-08-05,article,News,,['World War II (1939-45)']
"August 5, 2015 — Pictures of the Day",2015-08-05,article,News,,"['CHINA', 'Floods', 'INDIA', 'Photography', 'RUSSIA', 'Social Media', 'Swimming', 'Weather']"
Woman Behind #ILookLikeAnEngineer Says Campaign Against Gender Stereotypes Is ‘Long Overdue’,2015-08-05,article,News,,"['Women and Girls', 'Engineering and Engineers', 'Science and Technology', 'Social Media', 'Discrimination']"
"California Fire, Aided by Drought, Defies Tactics to Defeat It",2015-08-05,article,News,,"['Fires and Firefighters', 'Wildfires', 'Drought']"
Obama Takes On Opponents of the Iran Deal,2015-08-05,article,Editorial,,"['Editorials', 'Nuclear Weapons', 'United States Politics and Government', 'United States International Relations', 'Iraq War (2003-11)']"
"Money, Lust and Kung Fu: Shaolin’s ‘C.E.O. Monk’ Is Under Fire",2015-08-05,article,News,,"['Monasteries and Monks', 'Buddhism', 'Martial Arts', 'Corruption (Institutional)']"
App Smart | Catch a Cab Overseas,2015-08-05,multimedia,Video,,"['Mobile Applications', 'Taxicabs and Taxicab Drivers']"
Days of Selling Popular College Players’ Jerseys Seem Numbered,2015-08-05,article,News,,"['Football (College)', 'Uniforms', 'College Athletics']"
"Canceling Deal for 2 Warships, France Agrees to Repay Russia",2015-08-05,article,News,,"['Military Vehicles', 'Ships and Shipping', 'Embargoes and Sanctions', 'Defense and Military Forces']"
"The Proms, BBC’s Classical Music Festival, Is All the More Important as Austerity Looms",2015-08-05,article,News,,"['Music', 'Classical Music']"
A Woman on the $10 or the $20 Bill?,2015-08-05,article,News,,['US Dollar (Currency)']
"Temporary Tattoos, Now for Grown-Ups, Too",2015-08-05,article,News,,"['Tattoos', 'Fashion and Apparel', 'Art']"
"Disney, Time Warner and Other Media Shares Fall as Investors Worry About TV’s Future",2015-08-05,article,News,,"['Television', 'Stocks and Bonds', 'Company Reports']"
Obama’s Full Speech Defending Iran Deal,2015-08-05,multimedia,Video,,"['Nuclear Weapons', 'United States International Relations']"
"At Calliope, Beautiful Things for Beautiful, Moneyed People",2015-08-05,article,News,,"['Interior Design and Furnishings', 'Shopping and Retail', 'Furniture', 'Design']"
Pope Speaks on Divorced Catholics,2015-08-05,multimedia,Video,,"['Divorce, Separations and Annulments']"
The Enemy,2015-08-05,multimedia,Video,,['Monkeys and Apes']
A George Benjamin Exacting Storm in Opera Comes to Mostly Mozart,2015-08-05,article,News,,"['Opera', 'Mostly Mozart Festival', 'Classical Music']"
Donald Trump and Bill Clinton Chatted by Phone Before Trump Announced Candidacy,2015-08-05,article,News,,['Presidential Election of 2016']
Hiroshima Atomic Bomb Survivors Pass Their Stories to a New Generation,2015-08-05,article,News,,"['Nuclear Weapons', 'World War II (1939-45)', 'Monuments and Memorials (Structures)']"
Best Is Still to Come in Pearson Breakup,2015-08-05,article,News,,"['Book Trade and Publishing', 'Mergers, Acquisitions and Divestitures']"
Texas ID Law Called Breach of Voting Rights Act,2015-08-05,article,News,,"['Voting Rights Act (1965)', 'Voter Registration and Requirements', 'Discrimination', 'Identification Devices', 'Blacks', 'Black People', 'Hispanic-Americans']"
Value of Iran Sanctions Relief Is Hard to Measure,2015-08-05,article,News,,"['Nuclear Weapons', 'Embargoes and Sanctions', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Economic Conditions and Trends']"
"At Glimmerglass Festival, ‘The Magic Flute’ Is Among the Reimagined",2015-08-05,article,News,,"['Opera', 'Classical Music']"
"Reddit Sets New Content Policy, Banning Some Racist Communities",2015-08-05,article,News,,"['Social Media', 'Start-ups']"
Shooting Suspect Killed in Tennessee,2015-08-05,multimedia,Video,,"['Police', 'Murders, Attempted Murders and Homicides']"
Review: ‘Revive Music’ Marries Jazz and Hip-Hop,2015-08-05,article,Review,,"['Music', 'Jazz']"
Complete Video of Obama’s Case for the Iran Deal,2015-08-05,article,News,,"['Nuclear Weapons', 'United States International Relations']"
Review: Dej Loaf Releases ‘#AndSeeThatsTheThing’,2015-08-05,article,Review,,"['Music', 'Rap and Hip-Hop']"
Spain Says Banker’s Seized Picasso Will Head Back Home,2015-08-05,article,News,,"['Art', 'Protectionism (Trade)', 'Customs (Tariff)']"
Your Evening Briefing,2015-08-05,multimedia,Slideshow,,[]
Your Wednesday Evening Briefing,2015-08-05,article,News,,[]
"Tesla Motors Trims Delivery Outlook, Sending Stock Down",2015-08-05,article,News,,"['Electric and Hybrid Vehicles', 'Company Reports']"
"Review: Joshua Beamish Takes On Challenges Within Couples, in 4 Takes",2015-08-05,article,Review,,['Dancing']
"Review: ‘Swing That Music,’ Effortless Fun in a Tribute to Jazz Forerunners",2015-08-05,article,Review,,"['Music', 'Jazz']"
Los Angeles Agrees to Overhaul Jails to Care for Mentally Ill and Curb Abuse,2015-08-05,article,News,,"['Prisons and Prisoners', 'Prison Guards and Corrections Officers', 'Mental Health and Disorders', 'Police']"
The Pop Singer Borns Is on the Threshold to Tomorrow,2015-08-05,article,News,,['Music']
Review: Vail International Dance Festival Celebrates Meter,2015-08-05,article,Review,,"['Dancing', 'Vail International Dance Festival']"
Yahoo Tweaks Email to Make Search More Personal,2015-08-05,article,News,,"['E-Mail', 'Search Engines']"
When Architecture Meets Pop Culture (Kanye West Included),2015-08-05,article,News,,"['ARCHITECTURE', 'Real Estate and Housing (Residential)', 'Design']"
Ex-Detective Going to Jail for Role in Manhattan Biker Assault,2015-08-05,article,News,,"['Assaults', 'Motorcycles, Motor Bikes and Motorscooters', 'Police Brutality, Misconduct and Shootings', 'Assassinations and Attempted Assassinations', 'Prisons and Prisoners', 'Gangs']"
"Midcentury Chic at Loosie Rouge, in Williamsburg’s South Side",2015-08-05,article,News,,['Bars and Nightclubs']
The Cultivist’s Top 12 International Hidden Art Gems,2015-08-05,multimedia,Interactive Feature,,[]
Martin O’Malley Accuses D.N.C. of Favoring Hillary Clinton,2015-08-05,article,News,,['Presidential Election of 2016']
Chrysler Posts a 3% Drop in Profit After $90 Million Fine,2015-08-05,article,News,,"['Company Reports', 'Fines (Penalties)', 'Traffic Accidents and Safety']"
Lena Dunham Survives to Party in the Hamptons,2015-08-05,article,News,,"['Parties (Social)', 'Breast Cancer', 'Celebrities']"
"Boxing’s Faces, Old and New",2015-08-05,multimedia,Slideshow,,"['Boxing', 'Health Clubs', 'Exercise']"
"A History of Drag Queen Culture in New York City, Told Through Images",2015-08-05,multimedia,Slideshow,,['Transvestism']
The Accidental Historian of Drag Queens,2015-08-05,article,News,,"['Transvestism', 'Photography']"
Four Cool New(ish) Summer Surf Breaks,2015-08-05,article,News,,"['Surfing', 'Travel and Vacations', 'Summer (Season)']"
Shopping Events and Sales Happening This Week in New York,2015-08-05,article,News,,"['Fashion and Apparel', 'Shopping and Retail', 'Shoes and Boots', 'Handbags and Purses']"
Bill Plympton Lends His Animation Skills to ‘Kahlil Gibran’s The Prophet’,2015-08-05,article,News,,[]
Photographs Most Muscular,2015-08-05,multimedia,Slideshow,,[]
Summertime Musts,2015-08-05,multimedia,Interactive Feature,,"['Shopping and Retail', 'Fashion and Apparel']"
Photographs Most Muscular,2015-08-05,multimedia,Slideshow,,[]
"Fox, Topping Projections, Reports a Tough Quarter",2015-08-06,article,News,,"['Company Reports', 'Television', 'Movies']"
New Hampshire: A Vote Against Planned Parenthood ,2015-08-06,article,Brief,,['ABORTION']
"Charles Goldstein, Lawyer Who Helped Find Looted Art, Dies at 78",2015-08-06,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Holocaust and the Nazi Era', 'Arts and Antiquities Looting']"
"Jon Stewart, Sarcastic Critic of Politics and Media, Is Signing Off",2015-08-06,article,News,,"['Television', 'News and News Media', 'Cable Television']"
Red Sox Quickly Go From Lifting Trophy to Raising Doubts,2015-08-06,article,News,,['Baseball']
Qatar’s Liquid Gold,2015-08-06,multimedia,Slideshow,,"['Natural Gas', 'Energy and Power']"
U.S. Imposes Sanctions on 2 Qataris for Qaeda Ties,2015-08-06,article,News,,"['Embargoes and Sanctions', 'Terrorism', 'United States International Relations']"
Companies See Benefits in Publicizing Pay Ratios,2015-08-06,article,News,,"['Executive Compensation', 'Income Inequality', 'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)', 'Wages and Salaries']"
 Fox News Moderators Look for Ways to Keep 10 Candidates on Their Toes,2015-08-06,article,News,,"['Presidential Election of 2016', 'Debates (Political)', 'News and News Media']"
"High Diving, a Crowd-Pleasing Sport, Pursues an Olympic Platform",2015-08-06,article,News,,"['Diving (Sports Event)', 'Olympic Games', 'Olympic Games (2020)']"
"De Blasio, Facing Criticism, Is Taking On Homelessness With $22 Million Initiative",2015-08-06,article,News,,"['Homeless Persons', 'Mental Health and Disorders']"
Bronx Man’s Death From Legionnaires’ Disease Gives Family Cause to Worry,2015-08-06,article,News,,"[""Legionnaires' Disease""]"
"Bob Timmons, 91, a Demanding Coach Who Developed a Star Runner, Is Dead",2015-08-06,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Running']"
"Bernie Sanders to Visit Liberty University, a Rare Venue for a Democratic Campaign",2015-08-06,article,News,,['Presidential Election of 2016']
High Emotion at Aurora Shooting Trial as Families Share Stories of Lives Cut Short,2015-08-06,article,News,,"['Aurora, Colo, Shooting (2012)', 'Murders, Attempted Murders and Homicides', 'Sentences (Criminal)']"
Cybersecurity Bill Is Latest to Be Delayed in Senate,2015-08-06,article,News,,"['Cyberwarfare and Defense', 'Law and Legislation', 'Computers and the Internet', 'Computer Security']"
"Seeing Likely Nominee, Hillary Clinton Hits Jeb Bush Hard",2015-08-06,article,News,,['Presidential Election of 2016']
Senate Report Cites I.R.S. Mismanagement in Targeting of Tea Party Groups,2015-08-06,article,News,,"['Nonprofit Organizations', 'United States Politics and Government', 'Internal Revenue Service Political Profiling', 'Tea Party Movement', 'Federal Taxes (US)', 'Taxation']"
We Write to Taste Life Twice,2015-08-06,article,News,,['Crossword Puzzles']
"Louis Sokoloff, Pioneer of PET Scan, Dies at 93",2015-08-06,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Mental Health and Disorders']"
"Luis Severino, in a Loss, Shows the Yankees What They’ve Gained",2015-08-06,article,News,,['Baseball']
OSHA to Propose Beryllium Limit in the Works Since 1975,2015-08-06,article,News,,"['Hazardous and Toxic Substances', 'Metals and Minerals', 'Workplace Hazards and Violations', 'Lungs', 'Workplace Environment']"
Draft of an Executive Order for Paid Sick Leave,2015-08-06,multimedia,Interactive Feature,,"['Government Contracts and Procurement', 'Executive Orders and Memorandums', 'Paid Time Off']"
