headline,date,doc_type,material_type,section,keywords
"Below the Surface, Demons Personal and Political",2013-03-01,article,Review,,['Movies']
Balenciaga Is in Good Hands,2013-03-01,article,Review,,"['Fashion and Apparel', 'Paris Fashion Week']"
Shtetls to Subdivisions: A Modern Jewish Journey,2013-03-01,article,Review,,"['Movies', 'Documentary Films and Programs']"
Best Buy’s Talks With Its Founder Said to Have Ended,2013-03-01,article,News,,"['Mergers, Acquisitions and Divestitures']"
"After a College Visit, a Student Finally Knows What She Wants",2013-03-01,article,News,,"['ADMISSIONS STANDARDS', 'Colleges and Universities']"
A Struggling Actor and a Struggling Single Dad,2013-03-01,article,Review,,['Movies']
Listening to America’s Growling Bellies,2013-03-01,article,Review,,"['Movies', 'Documentary Films and Programs']"
"In California, What Price Water?",2013-03-01,article,News,,"['Water', 'Desalination']"
Brothers Retrace Their Holocaust Childhoods,2013-03-01,article,Review,,"['Movies', 'Documentary Films and Programs']"
A Shared History in Detroit Is an Ad Inspiration,2013-03-01,article,News,,"['ADVERTISING AND MARKETING', 'Automobiles', 'Theater', 'Music']"
Mock Civil War Story (Cue the Elegiac Fiddle),2013-03-01,article,Review,,['Movies']
To the Ramparts for Mother Earth,2013-03-01,article,Review,,"['Movies', 'Documentary Films and Programs']"
Neighborhood Joint: St. Mazie,2013-03-01,multimedia,Slideshow,,"['Flamenco (Dance)', 'Bars and Nightclubs']"
"For Fed Presidents, Economics Is Local",2013-03-01,article,News,,['United States Economy']
The Last Few Whiffs of Adolescence,2013-03-01,article,Review,,['Movies']
This London Police Unit Will Do Anything,2013-03-01,article,Review,,['Movies']
"Beer, Tattoos and Flash of Flamenco",2013-03-01,article,News,,"['Flamenco (Dance)', 'Bars and Nightclubs', 'Dancing']"
A Family Not Quite on the Up and Up,2013-03-01,article,Review,,['Movies']
U.S.D.A. May Approve Horse Slaughtering,2013-03-01,article,News,,"['Slaughterhouses', 'Horses', 'Livestock', 'Meat']"
Rabbi Who Served Prisoners Is Sentenced to Spend 45 Days as One ,2013-03-01,article,News,,"['Rabbis', 'Frauds and Swindling', 'Sentences (Criminal)', 'Public and Subsidized Housing', 'Section 8 (Housing)']"
Advocates Gather in Albany to Protest New Gun Limits,2013-03-01,article,News,,"['Demonstrations, Protests, and Riots', 'Gun Control', 'State Legislatures']"
Cashman Says Yanks Have Made a Significant Offer to Cano,2013-03-01,article,News,,['Baseball']
"Breuer Reflects on Prosecutions That Were, and Weren’t",2013-03-01,article,News,,"['Banking and Financial Institutions', 'Suspensions, Dismissals and Resignations']"
Tell Us: Employer Benefits for Same-Sex Couples,2013-03-01,article,News,,"['Same-Sex Marriage, Civil Unions and Domestic Partnerships']"
Map of the Northern Front of the Syrian War,2013-03-01,multimedia,Interactive Feature,,['Refugees and Displaced Persons']
"Syrian Civilians, Empowering Themselves",2013-03-01,multimedia,Slideshow,,"['Politics and Government', 'Middle East and North Africa Unrest (2010- )']"
"Fighting Shortages, Syrian Civilians Take Reins in Rebel Areas",2013-03-01,article,News,,"['Politics and Government', 'Middle East and North Africa Unrest (2010- )']"
"Bruce Reynolds, 1932-2013",2013-03-01,multimedia,Slideshow,,"['Deaths (Obituaries)', 'Robberies and Thefts']"
Science and Sensibility,2013-03-01,article,News,,"['Domestic Violence', 'Native Americans', 'Violence Against Women Act (1994)']"
Mississippi Mayoral Candidate Found Dead,2013-03-01,article,News,,"['Elections, Mayors', 'Deaths (Fatalities)', 'Murders and Attempted Murders']"
"Ben Bernanke, Hippie",2013-03-01,article,Op-Ed,,"['United States Economy', 'Iraq War (2003-11)', 'Federal Budget (US)']"
The Learning Virtues,2013-03-01,article,Op-Ed,,"['Education (K-12)', 'Confucianism', 'Books and Literature']"
Give Up Your Pew for Lent,2013-03-01,article,Op-Ed,,['Lent']
Bangladesh’s Winter of Discontent,2013-03-01,multimedia,Slideshow,,"['Demonstrations, Protests, and Riots']"
Home Care Rules in the Home Stretch,2013-03-01,article,Editorial,,"['Wages and Salaries', 'Labor and Jobs', 'Home Health Care', 'Minimum Wage', 'Editorials', 'Child Care']"
Breeding Bad Bugs,2013-03-01,article,Editorial,,"['ANTIBIOTICS', 'Factory Farming', 'Livestock', 'Editorials']"
"Bruce Reynolds, Audacious Mastermind of Great Train Robbery, Is Dead at 81",2013-03-01,article,Obituary (Obit),,"['Crime and Criminals', 'Robberies and Thefts', 'Deaths (Obituaries)']"
